just grossbut do appreciate doing gross work dont ever have videos are entertaining,en,,
hes funny hahaha,cy,,
woooaaaaahhhh im from philippines but ive never tried kind of foodddddd,en,,
subscribed bc like your thighs haha,en,,
plus some of our natives are eating raw ray fish snails at beaches,en,,
wow your here again try buro thing made of fermented rice pampanga can try balut but thing really sucks although am filipino cannot try hahahah,en,,
keep up,et,,
lol,es,,
tall guy says himself quotay nako napakadaldal naman ang mga kano mag nod nalang ako sa joke nyaquot,tl,,
better then me dont think could do,en,,
keep up amazing work,af,,
alone hotel room with bunch of stamina use all stamina on your right hand,en,,
ok listen bro did really went with completly strangers first told go quotthe beachquot then changed idea move into complete wilderness with an axe without problems trust over ps bet idea eat sell these worms toursit went something like quotehy we need something disgusting wierd can be eaten without dying of food poisoning we can overcharge this shit only mad random turists blue slimy wood worm got famquot,en,,
yahhh yah,so,,
hilarious great job sonny,en,,
why didnt just keep youre trainers ondumbass,en,,
respect,es,,
frigging fantastic vlog great work sonny sooooooooooooooo entertaining,af,,
bro got more swag than anyone ive ever met lovin your videos from day keep them coming besty are awesome,en,,
tamilok sa bisaya yung parang uod pero sarap nyan sawsaw sa suka,tl,,
sarap nyan,tl,,
should invite cong on your food adventures,en,,
awesome work buy some boots,af,,
tastes like regret dclassic,no,,
if could hundred times subscribe your channel definitely will,en,,
enjoy this vid very much,en,,
funny whatever youre doing health fitness workin alsolooking great,en,,
im filipino but havent tasted xd,en,,
arent those just tape worms,en,,
best food review ever loved,da,,
excited see another jollibee video from again bwahahahahaha,en,,
bro should try our famous coffee called nescafe what makes special an animal called tarsier eat coffee beans then poop whole then we harvest turn into coffee havent seen tried itlog na malaat chop some kamatis on little bit of water then mix its delicious im from philippines by way try while youre still here philippines,en,,
an eagle,tl,,
miss tamilok better with vinegar calamansi,en,,
quotif youre going full experience have go rawquotsonny,fr,,
omg crazy looks nasty rawanything taste good deep fried,af,,
props on eating all exotic foods bruh more power,en,,
its funny how there wood worms gives wood,en,,
road k sonny yay,so,,
yea love,en,,
man are awesome,af,,
had palawan tastes like oysters enjoy ph again,id,,
audio quality man damn,it,,
favorite worm one at bottom of tequila bottle,en,,
yum slimy like an oyster,no,,
but cant finish video,en,,
more bugs video plz,lv,,
thanks buddy visiting tamilok philippines we hope enjoy,en,,
oh hell naw disgusting,cy,,
your videos give me life,es,,
eww,cy,,
dang youre back pilippines come manila pleaseee,tl,,
love your videos no matter how gruesome will always watch loyal keep up amazing content are one of best,en,,
another very entertaining worm video thumbs up enjoy your stay philippines,en,,
what fucking champ ate wurm like was nothing men like this put us shame,en,,
if want full experience got go raw,en,,
oh wow what an awesome video worms have texture of oysters laughed hard with quotaxe menquot quotbedroom staminaquot quotwoodquot humor are brave try this man btw filipino guy was cool too keep up good work telling like educational entertaining at same time two thumbs up,en,,
what thing jumped off branch at,en,,
netflix can give this guy contract,en,,
sunny need go north of philippines there much food there have not tried go pampanga pangasinan ilocos sur ilocos norte,en,,
stumbled upon your hilarious beetle nut video before my trip taiwan here am binge watching all of them your funny jokes are my new addiction cant wait best ever food review show indonesia,en,,
ohi love,sl,,
knock on kais door at night dude,af,,
eeey maaann if ever get visit philippines again should definitely visit negros island philippines its beside cebu island shape of sock were known our delicious food should google about,en,,
guy with banded looks like jake paul,af,,
tamilok how does taste,af,,
hehe ayos,en,,
wheres your beer sonny mabuhay ka,so,,
sweet mother of moses those things look like wants swim up areas could not stand,en,,
lami deserve an award my man,en,,
should try coconut beetle larvae,en,,
last time saw his video he has subscriber but now damn good job keep up,en,,
your channel growing extremely fast cant wait until reach k subscribers can brag one guy who called clown said would never reach k sonny man should be on travel channel,en,,
hakuna matata,sw,,
ilove youre featuring some of philippines goodness sonny keep up godbless greetings here from manila philippines,en,,
these vlogs are theater quality no lie,en,,
tamiloooooook,et,,
funny white guy with lots of stamina vs worm might be good title,en,,
wow love your channel deserve million sub glad im here before m milestone ha,en,,
thank your content sonny are by far one of my favorite youtubers ive seen almost all videos past three days bestiesbestysbestie,en,,
need get your own tv show,en,,
,unknown,,
someone give this man show on travel channel,en,,
wish could give more then thumbs up,en,,
this channel really encourages me do cinematic little vids or something really want me binge watch but have acholl,en,,
made other guy look like an amateur,af,,
fell jn love with vietnam after watching your video now this swampy place awesome will be going there sure thank your videos sunny youre amazing,en,,
watched enjoyed subscribed,en,,
rock sonny congrats on your channel,en,,
welcome back philippines,en,,
hes beast sure dream do adventures do,pt,,
he ate raw,en,,
this should be on trending,en,,
good worm sonny,af,,
nyammnyamm,sw,,
awsome,cy,,
jokes are lost translation but hilarious nonetheless hahaha,en,,
only would eat fried version,en,,
dont censor yourself,fr,,
im glad found this channel,en,,
this kind of video want see from sony eating weird foods,en,,
clean,ro,,
this really different,en,,
,unknown,,
hello mr sunny can try eat lugaw with tokwa d,en,,
as filipino never heard of these worms until recently can also assure its not delicacy lmao its worm theres also no way im eating one of those huge respects these guys who catch them adventurous people who try them,en,,
soo proud of sir im fan subscriber since k less subs before now its k omg im happy sir,en,,
whats song at beginning,en,,
came accross this jewel sunday have been binged watching ever since absolutely loved humor sarcasm originality hating flaggerseat shit,en,,
come visit pampanga philippines delicious unique kinds of foods we have man wont regret,en,,
thank much visit here philippines enjoy,en,,
if youre going full experience have go raw,en,,
near impossible not quotlikequot this video hahaha but this very colorful exotic film documenting your travels thanks,en,,
mad props sonny this eeeky but insightful video this very first time saw reviewer eating raw rock,en,,
pinoy ako pero diko kaya ginagawa mo,tl,,
my favourite worm dennis rodman quotthe wormquot,en,,
actually really really wanna try tamilok,en,,
damnnthis actually very interesting,en,,
im jealous with man im filipino but never yet tried one even though want,en,,
he looks like older version of logan paul,af,,
please go nueva ecija notthern philippines try eat beetle locally known as salagubang ye,en,,
jeezzz cant imagine feeling after swallow but anyways video was amazingly done cant wait visit palawan,en,,
welcome back philippines,en,,
what does taste like taste like regret hahaha lol,af,,
your videos are really great really know how edit put great content on your vids deserve more subs hopefully get million soon,en,,
just found your channel im definitely subscribing,en,,
come jakarta indonesia sonny id love taking around,id,,
was minuuuutes oh men feels like,af,,
wow thats awsome reminds me with my boss his like food adventurer,en,,
proud be an pilipino citizen,it,,
filipino guy damn annoying with his yeaaaaah yeaaaaaah,so,,
just discovered your channel should visit hawaii try raw opihi traditionally dipped some sort of chili water or sprinkled with little sea salt but because im filipino prefer dipping spicy garlic soy vinegar sauce,en,,
hear me out need either go laos or back northern vietnam have some traditional hmong food gets super spicy but honestly best food ever,en,,
came youre channel through food ranger channel enjoyed this video much omg are handsome as well,en,,
sonny whats camera youre using d,en,,
tamilok not scary its tasty but just feels weird eat feel overall its fine,en,,
wish have money can support more cuz are best youtube,en,,
wtf,cy,,
skip watching anime your latest vid,en,,
made my day quotit taste like regretquot,sq,,
have strong stomach parasites,en,,
got stomachache watching this,en,,
well done mate very good review on tamilok kudos on walking bare foot mate job well done,af,,
meat expert,ca,,
imagine locals thinking quotlook at this idiot tourist they will eat anything as long as we label them exotic wouldnt even want touch themquot,en,,
sonny its good wink wink lol,en,,
dont want be rude,nl,,
sorry besty can never do what did can call me sissy im just afraid of any worms even earthworms youre best big thumbsup friend,en,,
have go raw all stamina getting lol,it,,
its midnight here where am have work early morning but cant stop watching your vids theyre soooooo good keep them coming sonny,en,,
sonny this best show ever,en,,
wood worm reason uh huh ahahha d,so,,
